Train No	Train Name
14316	INTERCITY EXP
14317	IND DDN EXPRESS
14318	DEHRADUN INDORE EXPRESS
14321	BE - NBVJ EXP.
14322	BE - NBVJ
14323	ROK INTERCITY EXP
14324	NDLS INTERCITY EXP
14369	TRIVENI EXPRESS
14370	TRIVENI EXP
14511	NAUCHANDI EXP
14512	NAUCHANDI EXP
14519	KISAN EXPRESS
14520	KISAN EXPRESS
14523	MFP-UMB EXPRESS
14524	UMB-MFP HARIHAR EXPRESS
14525	UMB - SGNR INTERCITY EXP
14526	SGNR - UMB INTERCITY EXP
14545	DLI SRE EXP
14546	SRE DLI EXP
14553	HIMACHAL EXP
14554	HIMACHAL EXPRES
14555	BAREILLY EXPRESS
14556	BAREILLY EXP
14601	FZR-SGNR EXPRESS
14602	SGNR-FZR EXPRESS
14603	JANSADHARAN EXP.
14604	JANSADHARAN EXP.
14609	HEMKUNT EXP
14610	HEMKUNT EXP
14625	DEE-FZR INTERCITY EXPRESS
14626	FZR-DEE INTERCITY EXPRESS
14629	SUTLEJ EXP.
14630	FZR-LDH SUTLEZ EXP
14631	DDN ASR EXPRESS
14632	ASR DDN PASS
14633	RAVI EXPRESS
14634	RAVI EXPRESS
14645	SHALIMAR EXP
14646	SHALIMAR EXP
14649	SARYUYAMUNA EXP
14650	SARYUYAMUNA EXP
14659	DLI - JSM EXPRESS
14660	JSM - DLI EXPRESS
14661	JU BME EXP
14662	BME JU EXPRESS
14673	SHAHEED EXPRESS
14674	SHAHEED EXP
14681	ASR-JUC EXPRESS
14682	JUC-NDLS EXPRESS
14701	JSM-BKN EXPRESS
14702	BKN-JSM EXPRESS
14703	JSM-LGH EXPRESS
14704	LGH-JSM EXPRESS
14705	DEE-SUJH EXP.
14706	SUJH-DEE EXP.
14707	BKN-BDTS  EXP.
14708	BDTS-BKN  EXP.
14709	BKN - PURI EXP
14710	PURI - BKN EXP
14711	RKSH - SGNR  EXP.
14712	SGNR-RKSH  INTERCITY
14723	KALINDI  EXPRESS
14724	KALANDI EXPRESS
14731	DLI-BTI INTERCITY EXPRES
14732	BTI-DLI INTERCITY
14795	BNW-KLK  EKTA  EXP.
14796	KLK-BNW  EKTA EXP.
14801	JU-GIMB EXPRESS
14802	GIMB-JU EXPRESS
14807	JP-AWR EXP
14808	AWR-JP EXP
14809	JSM-JU  EXP.
14810	JU-JSM  EXP.
14853	BSB-JU MARUDHAR EXP.
14854	JU-BSB  MARUDHAR EXP.
14863	BSB-JU MARUDHAR EXP.
14864	JU-BSB  MARUDHAR EXP.
14865	BSB-JU MARUDHAR EXP.
14866	MARUDHAR PBH/RBL EXP.
14887	KLK-BME CHANDIGARH EXP.
14888	BME-KLK  EXP.
14889	BGKT-MBF EXP.
14890	MBF-BGKT EXP.
15001	MFP DDN EXP
15002	DDN MFP EXP
15003	CHAURICHAURAEXP
15004	CHAURICHAURAEXP
15005	GKP DDN EXPRESS
15006	DDN GKP EXP
15007	KRISHAK EXPRESS
15008	KRISHAK EXPRESS
15009	CHITRAKOOT EXP
15010	CHITRAKOOT EXP
15011	LJN-SRE EXP
15012	LJN SRE EXP
15013	RANIKHET EXP
15014	RANIKHET EXP
15015	GKP- YPR EXPRESS
15016	YPR - GKP EXPRESS
15017	KASHI EXP
15018	GKP-LTT EXPRESS
15019	GKP-NTV-EXP
15020	NTV-GKP-EXP
15021	SHALIMAR-GORAKHPUR-EXP
15022	GORAKHPUR-SHALIMAR-EXP
15023	GKP-YPR-EXP
15024	YPR-GKP-EXP
15027	MAURYA EXP
15028	MAURYA EXPRESS
15033	HW-RMR EXP
15034	RMR-HW EXP
15035	UTR SAMPARK KRANTI EXP
15036	UTR SAMPRK KRANTI EXP
15037	CNB-KSJ-EXP
15038	KSJ-CNB-EXP
15039	FBD-KSJ-EXP
15040	KSJ-FBD-EXP
15041	FBD-KSJ-EXP
15042	KSJ-FBD-EXP
15045	GKP - OKHA EXPRESS
15046	OKHA-GKP EXP
15047	PURBANCHAL EXP
15048	PURVANCHAL EXP
15049	KKK-GKP EXP
15050	GKP KKK  EXP
15051	KKK GKP EXPRESS
15052	GKP KKKEXPRESS
15097	AMARNATH EXP
15098	AMARNATH EXP
15101	JANSADHARAN EXP
15102	JANSADHARN
15103	INTERCITY EXP
15104	INTERCITY EXP
15105	INTERCITY EXP
15106	INTERCITY EXP
15107	CPR-MTJ-EXP
15108	MTJ-CPR-EXP
15109	BSB-RGD EXP.
15110	BUDH PURNIMA
15111	CPR-MUV INTER CITY
15112	MUV-CPR INTER CITY
15159	SARNATH EXPRESS
15160	SARNATH EXP.
15201	HJP-NKE INTERCITY EXP
15202	RXL-HJP INTERCITY EXP
15203	BARAUNI LUCKNOW EXP
15204	LUCKNOW-BARAUNI  EXP
15209	SHC-ASR JANSEWA EXP
15210	ASR-SHC JANSEWA EXP
15211	DBG-ASR JANNAYAK EXP
15212	ASR- DBG JANNAYAK EXP
15215	EXPRESS
15216	EXPRESS
15227	YPR-MFP EXP
15228	MUZAFFARPUR-YESVANTPUR EX
15229	SARNATH EXPRESS
15230	SARNATH EXP.
15233	KOLKATA-DARBHANGA EXPRESS
15234	DARBHANGA-KOLKATA EXPRESS
15235	HWH-DBG EXPRESS
15236	DBG-HWH EXPRESS
15267	RXL-LTT JANSADHARAN EXP
15268	LTT-RXL JANSADHARAN EXP
15269	MFP-ADI JANSADHARAN EXP
15270	ADI-MFP JANSADHARAN EXP
15271	MFP-HWH JANSADHARAN EXP
15272	HWH-MFP JANSADHARAN EXP.
15273	RXL-DLI SATYAGRAH EXP
15274	DLI-RXL SATYAGRAH EXP
15275	SHC-BJU EXPRESS
15276	BJU-SHC EXPRESS
15279	POORBIYA EXPRES
15280	POORBIYA EXP.
15281	SHC-PNBE KOSHI EXP
15282	PNBE-SHC KOSI EXP
15283	SHC-JYG JANKI EXP
15284	JYG-SHC JANKI EXP
15307	NAINITAL EXP
15308	NAINITAL EXP
15309	RUHELKHAND-EXP
15310	RUHELKHAND EXP
15311	KUMAUN EXP
15312	KUMAUN EXPRESS
15313	ASH - BRY EXP
15314	BRY - ASH EXP
15315	GD-KSJ-EXP
15316	KSJ-GD-EXP
15319	PLK - ASH EXP
15320	ASH -PLK EXP
15321	ANDN-GD-EXP
15322	GD-ANDN-EXP
15463	BLGT - NJP EXP
15464	NJP - BLGT I/C EXP
15465	SGUJ - DBB I/C EXP
15466	DBB - SGUJ I/C EXP
15467	NJP - APDJ I/C EXP
15468	APDJ - NJP I/C EXP
15469	APDJ - LMG I/C EXP
15470	LMG - APDJ I/C EXP
15471	APDJ-KYQ I/C EXP
15472	KYQ - APDJ I/C EXP
15483	SIKKIM MAHANANDA EXPRESS
15484	SIKKIM MAHANANDA EXPRESS
15603	INTER CITY EXPRESS
15604	LEDO - KYQ INTER CITY EXP
15605	GHY-FKG-MXN I/CITY
15606	MXN-FKG-GHY I/C EXP
15609	AVADH ASSAM EXPRESS
15610	AVADH ASSAM EXPRESS
15611	KARMABHOOMI EXPRESS
15612	KARMABHOOMI EXPRESS
15619	GAYA-KYQ EXPRESS
15620	KYQ-GAYA EXPRESS
15621	KYQ - ANVT EXPRESS
15622	ANVT - KYQ EXPRESS
15629	MS-GHY EXP
15630	GHY-MS EXPRESS
15631	BME-GHY EXPRESS
15632	GHY-BME EXPRESS
15635	GHY-OKHA DWARKA EXPRESS
15636	GHY-OKO DWARKA EXPRESS
15639	PURI-GHY EXPRESS
15640	GHY-PURI EXPRESS
15643	PURI-KYQ WEEKLY EXP.
15644	KYQ-PURI WEEKLY EXP.
15645	GHY-LTT EXPRESS
15646	GHY-LTT EXPRESS
15647	LTT - GHY EXPRESS
15648	GHY-LTT EXPRESS
15651	GHY-JAT LOHIT EXPRESS
15652	GHY-JAT LOHIT EXPRESS
15653	GHY-JAT AMARNATH EXPRESS
15654	GHY-JAT AMARNATH EXPRESS
15657	KANCHAN JUNGHA EXPRESS
15658	KUNCHANJUNGHA EXPRESS
15661	RNC-KYQ EXPRESS
15662	KYQ-RNC EXPRESS
15665	BG EXPRESS
15666	DMV-GHY EXPRESS
15667	GADHIDHAM-KAMAKHYA EXP
15668	KAMAKHYA-GANDHIDHAM EXP
15669	KYQ - DMV EXPRESS
15670	DMV - KYQ EXPRESS
15691	CACHAR EXPRESS
15692	CACHAR EXPRESS
15693	BARAK VALLEY EXPRESS
15694	BARAK VALLEY EXPRESS
15695	LMG - AGTL EXPRESS
15696	AGTL - LMG EXPRESS
15707	KIR-ASR EXPRESS
15708	ASR-KIR EXPRESS
15713	INTERCITY EXPRESS
15714	INTERCITY EXPRESS
15715	GAREEB NAWAJ EXPRESS
15716	GAREEB NAWAJ EXPRESS
15717	GHY-MXN I/C EXPRESS
15718	MXN-GHY I/C EXPRESS
15719	KIR-SGUJ INTERCITY EXPRES
15720	SGUJ-KIR INTERCITY EXPRES
15721	PAHARI EXPRESS
15722	PAHARI EXPRESS
15723	NJP - SMI WEEKLY EXPRESS
15724	SMI - NJP WEEKLY EXPRESS
15725	NJP - NCB INTERCITY EXP
15726	NCB - NJP INTERCITY EXP
15763	BLGT-NJP EXP
15764	NJP-BLGT EXP
15765	NJP-APDJ INTERCITY
15766	APDJ-NJP INTERCITY
15769	APDJ-LMG INTERCITY EXP
15770	LMG-APDJ INTERCITY EXP
15817	DBB - SHTT RAJYA RANI EXP
15818	SHTT - DBB RAJYA RANI EXP
15901	YPR-DBRG EXPRESS
15902	DBRG-YPR EXPRESS
15903	DBRT-CDG EXPRESS
15904	CDG-DBRG EXPRESS
15905	CAPE - DBRG VIVEK EXPRESS
15906	DBRG - CAPE VIVEK EXPRESS
15927	KYQ-DBRG EXPRESS
15928	DBRG-KYQ EXPRESS
15929	MS-DBRT EXPRESS
15930	DBRT-MS EXPRESS
15933	DBRT-ASR EXPRESS
15934	ASR-DBRG EXPRESS
15941	JAJ-DBRG EXPRESS
15942	DBRG-JAJ EXPRESS
15959	KAMRUP EXPRESS
15960	KAMRUP EXPRESS
16021	KAVERI EXPRESS
16022	MYS-MAS KAVERI EXPRESS
16023	MYS-YPR EXPRESS
16024	YPR-MYS EXPRESS
16031	MAS-JAT ANDAMAN EXPRESS
16032	JAT-MAS ANDAMAN EXPRESS
16041	MAS-ALLEPPEY EXP
16042	ALLP-CHENNAI EXPRESS
16043	MANGALORE EXP
16053	MAS-TPTY EXP
16054	TPTY-MAS EXPRESS
16057	MAS-TPTY SAPTHAGIRI EXP
16058	SAPTAGIRI EXP
16085	AJJ-JTJ EXP
16086	JTJ-AJJ  EXP
16089	MAS-TPT YELAGIRI EXPRES
16090	YELAGIRI EXPRES
16093	MAS-LJN EXPRESS
16094	LJN - MAS EXPRESS
16101	MS-RMM EXP
16102	RMM MS EXP
16105	MS - TCN EXP
16106	TCN - MS EXP
16107	MS-MAQ EXPRESS
16108	MAQ-MS EXPRESS
16115	MS-PDY EXP
16116	PDY-MS EXP
16125	MS -JU JODHPUR EXP
16126	JU MS EXPRESS
16127	MS GURUVAYUR EXP
16128	GUV CHENNAI EXP
16129	MEJ-TN LINK EXP.
16130	TN-MEJ LINK EXP.
16175	MS-KIK EXP
16176	KIK-MS EXP
16177	MS-TPJ ROCK FORT EXP
16178	TPJ-MS ROCKFORT EXPRESS
16179	MS-MQ
16180	MQ-MS
16181	MS-MNM SILAMBU BI-WKLY
16182	MNM-MS SILAMBU BI-WKLY
16183	MS-TJ EXP
16184	TJ-MS EXP
16185	MS-VLKN LINK EXP
16186	VLKN-MS LINK EXP.
16187	KIK-ERSEXP
16201	SBC-SMET EXPRESS
16202	SMET-SBC  EXPRESS
16203	MAS-TPTY EXP
16204	TPTY-MAS EXP
16205	TLGP-MYS INTERCITY EXP
16206	MYS-TLGP INTERCITY EXP
16209	AII MYS EXPRESS
16210	AJMER EXPRESS
16215	MYS-SBC CHAMUNDI EXP
16216	CHAMUNDI EXPRES
16217	MYS-SNSI EXPRESS
16218	SNSI-MYS EXPRESS
16221	MYS-MAS KAVERI EXPRESS
16222	KAVERI EXPRESS
16227	SBC-SMET EXP
16228	SMET-SBC EXP
16231	MV-MYSORE  EXPRESS
16232	MAILADUTURAI EX
16233	MV-TPJ EXPRESS
16234	TPJ-MV EXPRESS
16301	SRR-TVC VENAD EXPRESS
16302	TVC-SRR VENAD EXPRESS
16303	ERS-TVC VANCHINAD EXP
16304	TVC-ERS VANCHINAD EXP
16305	ERS-CANNANORE EXP
16306	CAN-ERS INTERCITY  EXP
16307	ALLP-CAN CANNANORE EXP
16308	CAN-ALLEPPEY EXP
16309	ERS-PNBE EXP
16310	PNBE-ERS EXP
16311	BKN KCVL EXPRESS
16312	KCVL BKN EXPRESS
16313	ERS-CAN EXPRESS
16314	CAN-ERS EXPRESS
16315	SBC-KCVL EXP
16316	KCVL-SBC EXP.
16317	CAPE-JAT HIMSAGAR EXP
16318	JAT-CAPE HIMSAGAR EXP
16321	SBC-TVC EXP
16322	TVC-SBC EXP
16323	TVC-SHM EXP
16324	SHM TVC EXP
16325	INDB-TVC AHILYA NAGARI E
16326	TVC-INDB AHILYA NAGARI E
16327	KRBA -TVC EXPRESS
16328	TVC-KORBA  EXP
16331	TRIVANDRAM  W EXP
16332	TVC-CSTM  EXPRESS
16333	VRL-TVC EXPRES
16334	TVC-VRL EXPRESS
16335	GIMB-NCJ EXP
16336	NCJ -GIMBEXP
16337	OKHA - ERS EXP.
16338	ERS - OKHA EXP
16339	CSTM-NCJ  EXP
16340	NCJ-CSTM EXPRESS
16341	GUV-TVC INTERCITY EXP
16342	TVC-GUV INTERCITY EXP
16343	TVC-PGTN AMRITHA EXPRESS
16344	PGTN-TVC AMRITHA EXPRESS
16345	LLT-TVC NETRAVATHI EXP
16346	TVC-LTT NETRAVATHI EXP
16347	TVC-MAQ EXPRESS
16348	MAQ-TVC EXPRESS
16349	SRR-NIL EXP
16350	NIL-SRR EXP
16351	CSTM- NCJ EXP
16352	NCJ-CSTM EXP
16359	ERS PATNA EXP
16360	PNBE-ERS EXPRES
16381	KANYAKUMARI EXP
16382	CAPE MUMBAI EXP
16501	ADI -SBC EXPRESS
16502	SBC-AHMADABAD EXP
16505	GIMB SBC EXPRES
16506	GANDHIDHAM EXP
16507	JU BANGLORE EXP
16508	JODHPUR EXPRESS
16515	YPR-MAQ EXPRESS
16516	KAWR--YPR EXPRESS
16517	YPR-CAN EXP
16518	CAN-YPR EXP
16519	JTJ-SBC EXP
16520	SBC-JTJ EXP
16521	BWT-SBC EXP
16522	SBC-BWT EXP
16523	YPR-MAQ-KAWR EXPRESS
16524	KAWR-MAQ-YPR EXPRESS
16525	CAPE-SBC EXPRESS
16526	KANYAKUMARI EXP
16527	YPR CAN EXP
16528	CAN-YPR EXP
16529	UDYAN EXPRESS
16530	UDYAN EXP
16531	GARIB NAWAJ  EXP
16532	GARIB NAWAJ EXP
16533	JU-YPR
16534	YPR-JU
16535	YPR-SUR EXPRESS
16536	SUR-YPR EXPRESS
16537	SBC-NCJ EXPRESS
16538	NCJ-SBC EXPRESS
16557	MYS-SBC RAJYA RANI EXPRES
16558	SBC-MYS RAJYA RANI EXPRES
16559	MYS-YPR EXPRESS
16560	YPR-MYS EXPRESS
16561	YPR-KCVL A/C EXPRESS
16562	KCVL-YPR A/C EXPRESS
16572	BIDR-YPR EXPRESS
16589	RANI CHENAMMA EXPRESS
16590	RANI CHENAMMA EXPRESS
16591	UBL-SBC HAMPI EXPRESS
16592	HAMPI EXP
16593	NED-SBC-EXP
16594	SBC-NED-EXP
16603	MAQ-TVC MAVELI EXPRESS
16604	TVC-MAQ MAVELI EXPRESS
16605	MAQ-NCJ EXP.
16606	NCJ- MAQ EXP.
16609	NCJ  CBE EXP
16610	CBE  NCJ  EXP
16611	TN-MEJ LINK EXP
16612	MEJ-TN LINK EXP
16613	RJT CBE EXPRESS
16614	CBE-RJT EXP.
16615	CHJEMMOZHI DAILY EXP.
16616	CHJEMMOZHI DAILY EXP.
16627	MAS-MAQ WEST COAST EXP
16628	MAQ-MAS WEST COAST EXP
16629	TVC-MAQ MALABAR EXP
16630	MAQ-TVC MALABAR EXP
16649	MAQ-NCJ PARASURAM EXP
16650	NCJ-MAQ PARASURAM EXPRESS
16669	MAS-ED EXPRESS
16670	ED-MAS EXPRESS
16687	MAQ-JAT NAVYUG EXP
16688	JAT-MAQ NAVYUG EXPRESS
16701	RMM EXP
16702	RMM MS EXP
16713	MS-RMM SETHU EXP
16714	RMM-MS SETHU EXP
16723	MS-TVC ANANTHAPURI EXP
16724	TVC-MS ANANTHAPURI EXP
16731	TN-MYS EXP
16732	MYS-TN EXP
16733	RMM-OKHA EXPRESS
16734	OKHA-RMM EXP
16735	MS - TCN EXP
16736	TCN - MS EXP
16779	TPTY-RMM TRI  WKLY EXP
16780	RMM-TPTY TRI-WKLY EXP
16787	TEN-ED/ JAT EXP
16788	JAT-TEN HIMSAGAR EXP
16853	MS-TPJ EXP
16854	TPJ-MS EXP
16855	PDY MAQ WEEKLY EXP
16856	MAQ PDY  EXPRESS
16859	MS-MAQ EXPRESS
16860	MAQ-MS EXPRESS
16861	PDY-CAPE WKLY EXP.
16862	CAPE-PDY WKLY EXP.
16865	KIK-ERSEXP
16866	ERS-KIK EXP
17001	SHIRIDI EXPRESS
17002	SHIRIDI EXPRESS
17003	HYB-KOP EXPRESS
17004	KOP-HYB EXPRESS
17005	HYB-DBG WEEKLY EXPRESS
17006	DBG-HYB WEEKLY EXPRESS
17007	SC-DARBANGA EXPRESS
17008	DARBANGA-SC-EXPRESS
17009	BIDR-HYB-INTERCITY
17010	SC-BIDR-INTER CITY EXP
17011	HYB-SKZR-INTERCITY
17012	SKZR-SC-INTERCITY
17013	PUNE-HYB EXPRESS
17014	HYB-PUNE EXPRESS
17015	VISHAKA
17016	VISHAKA
17017	RAJKOT EXPRESS
17018	RJT EXP
17019	AII-HYB  AJMIR EXPRESS
17020	HYB-AII EXPRESS
17023	TUNGABHADRA
17024	TUNGABHADRA
17031	MUMBAI EXPRESS
17032	MUMBAI
17035	TELANGANA
17036	TELANGANA
17037	BIKANER EXPRESS
17038	BIKANER EXPRESS
17049	MTM EXP
17050	MACHILIPATNAM
17057	CSTM-SC DEVAGIRI EXP
17058	DEVAGIRI
17063	AJANTA
17064	AJANTA
17201	GOLCONDA
17202	GOLCONDA
17203	CCT EXPRESS
17204	WEEKLY EXP
17205	EXP
17206	CCT-SNSI
17207	MMR-BZA EXPRESS
17208	BZA-SNSI EXPRESS
17209	SESHADRI
17210	SESHADRI
17211	KONDAVEEDU EXPRES
17212	KONDAVEEDU EXPRES
17213	NARSAPUR-NAGARSOL BI WEEK
17214	NSL-NS BI-WEEKLY EXPRESS
17215	EMPTYRAKE
17216	EMPTY RAKE
17217	EMPTYRAKE
17218	EMPTYRAKE
17219	EMPTYRAKE
17220	EMPTYRAKE
17223	SC-KRNT
17224	KRNT-SC INTER CITY
17225	AMARAVATI
17226	AMARAVATI
17229	TVC-HYB SABARI EXP
17230	TVC-HYB SABARI EXP
17233	BHAGYANAGAR EXPRESS
17234	BHANGYANAGAR
17239	SIMHADRI
17240	SIMHADRI
17241	VSKP LINK EXP
17242	EXP
17255	NS-HYB NARASAPUR EXP
17256	HYB-NS NARASAPUR EXP
17301	MYS DHARWAD EXP
17302	DWR MYSORE EXP
17303	MYS-YPR EXP
17304	YPR-MYS EXP
17305	UBL-LD-NZM LINK EXPRESS
17307	YPR-BGK BASAVA EXPRESS
17308	BGK-YPR BASAVA EXPRESS
17309	YPR VASCO EXP
17310	YPR VASCO EXPRESS
17311	CHENNAI- VASCO EXP
17312	VSG- CHENNAI EXP
17313	MAS- HUBLI EXP
17314	UBL CHENNAI EXP
17315	VSG-VLNK EXPRESS
17316	VLNK-VSG EXPRESS
17401	LINK EXPRESS
17402	LINK EXPRESS
17403	EXPRESS
17404	EXP
17405	KRISHNA
17406	KRISHNA
17407	MANNARGUDI EXPRESS
17408	MANNAR GUDI EXPRESS
17409	ADB-NED SPL
17410	NED-ADB SPL
17411	MAHALAXMI EXP
17412	MAHALAXMI EXP
17415	HARIPRIYA
17416	HARIPRIYA
17429	RAYALSEEMA
17430	RAYALSEEMA
17479	FIVE DAY EXPRESS
17480	FIVE DAY EXPRESS
17481	BI WEEKLY EXP
17482	TPTY-BSP BI WEEKLY
17487	TIRUMALA
17488	TIRUMALA
17601	NED-DAB EY RAKE
17602	DAB-NED EY RAKE
17603	YPR EXP
17604	EXPRESS
17607	THUNGABADRA
17608	THUNGABADRA
17609	PNBE-PAU EXP
17610	PAU-PNBE EXP
17613	PUNE-NED EXPRESS
17614	NED-PUNE EXPRESS
17615	BUDGET ANNOUNCED TRAIN
17616	BUDGET ANNOUNCED TRAIN
17617	TAPOVAN
17618	TAPOVAN
17639	KCG-AK-INTERCITY EXP
17640	AK-KCG INTER CITY EXP
17643	CIRCAR
17644	CIRCAR
17651	EXP
17652	EGMORE EXPRESS
17687	MARATHWADA
17688	MARATHWADA
18001	KANDARI EXPRESS
18002	KANDARI EXPRESS
18003	JHG-PRR BI-WEEKLY EXP
18004	PRR-JGM EXPRESS
18005	HWH-JDB EXPRESS
18006	JDB-KRPU-HWH EXPRESS
18007	SHM-BPO SIMLIPAL EXP
18008	BPO-SHM SIMLIPAL  EXPRES
18009	SRC - AII EXP
18010	SRC - AII EXP
18029	LTT-SHM-KURLA T EXPRESS
18030	SHM LTT KURLA T EXP
18047	HWH-VSGAMARAVATHI EXPRESS
18048	VSG HWH AMARAVATI EXPRESS
18101	TATA  MURI -HTE - JAT EXP
18102	JAT MURI  TATA EXPRESS
18103	JALLIANWALA BAGH EXPRESS
18104	JALLIANWALABAGH  EXPRESS
18105	ROU-BBS INTERCITY
18106	BBS-ROU INTERCITY
18107	ROU-KORAPUT INTERCITY EXP
18108	KORAPUT ROU INTERCITY EXP
18109	ROU -MURI - JAT EXPRESS
18110	JAT MURI ROU EXPRESS
18181	TATA-CPR EXP
18182	CPR-TATA EXP
18183	TATA DANAPUR EXPRESS
18184	DNR TATA EXPRESS
18189	TATA-ROU-ALLP EXPRESS
18190	TATA-ROU-ALLP EXPRESS
18191	CHHAPRA-CPA EXP
18192	CPA-CPR EXP
18201	DURG GKP EXPRES
18202	DURG GKP EXPRESS
18203	DURG-CNB BETWA EXP.
18204	CNB-DURG BETWA  EXPRESS
18205	DURG GKP EXPRESS VIA FD
18206	GKP DURG EXPRESS VIA FD
18207	DURG- AII EXP
18208	AII-DURG EXP
18209	DRZ-R EXPRESS
18210	R-DRZ EXPRESS
18211	DURG-JDB EXP
18212	JDB-DURG EXP
18233	IND-BSP NARMADA EXP
18234	NARMADA EXPRESS
18235	BPL BSP PASSENGER
18236	BSP BPL PASSENGER
18237	BSP-ASR EXPRESS
18238	CHHATISGARH EXPRESS
18239	GAD-NGP EXPRESS
18240	NGP-BSP ITWARI EXPRESS
18241	DURG-ABKP EXP CUM PASS
18242	ABKP-DURG EXP CUM PASS
18301	SBP-RGDA EXPRESS
18302	RGDA-SBP EXPRESS
18303	SBP-PURI INTERCITY
18304	PURI-SBP INTERCITY
18309	SBP-NED NAGAWALI BI-WEEK
18310	NED-SBP NAGAWALI BI-WEEK
18311	SBP-BSB BI-WEEKLY
18312	BSB-SBP BI-WEEKLY
18401	PURI-OKHA WEEKLY EXP.
18402	OKHA-PURI WEEKLY EXP.
18403	CKP-BBN EXPRESS
18404	BBN-CKP EXPRESS
18405	PURI-ADI WEEKLY EXPRESS
18406	ADI-PURI WEEKLY EXPRESS
18407	PURI-SNSI WEEKLY EXP
18408	SNSI-PURI WEEKLY EXP
18409	HWH-PURI SRI JAGANNATH
18410	PURI-HWH SRI JAGANNATH
18411	BBS-VSKP INTERCITY
18412	VSKP-BBS INTERCITY
18413	PRDP-PURI INTERCITY
18414	PURI-PRDP INTERCITY
18415	BBN-PURI INTERCITY
18416	PURI-BBN INTERCITY
18417	ROU-BBS RAJYARANI WEEKLY
18418	BBS-ROU RAJYARANI WEEKLY
18419	PURI-JYG WEEKLY EXP
18420	JYG-PURI WEEKLY EXP
18425	PURI-DURG EXP.
18426	DURG - PURI EXP.
18437	BBS-BWIP LINK EXP.
18438	BWIP-BBS LINK EXP.
18447	BBS-JDB HIRAKHAND EXP
18448	JDB-BBS HIRAKHAND EXP
18449	PURI-PNBE BAIDYANATHDHAM
18450	PNBE-PURI BAIDYANATHDHAM
18451	HTE-PURI TAPASWANI EXP.
18452	PURI-HTE TAPASWANI EXP.
18463	BBS-SBC PRASHANTI
18464	SBC-BBS PRASANTHI
18473	PURI-JODHPUR EXP.
18474	JODHPUR-PURI EXPRESS
18477	PURI-HW UTKAL EXP.
18478	HW-PURI UTKAL EXP.
18495	RMM-BBS WEEKLY EXP.
18496	BBS-RMM WEEKLY EXP.
18507	VSKP-ASR HIRAKUD EXP.
18508	ASR-VSKP HIRAKUD EXP.
18509	VSKP-NANDED EXP
18510	NANDED-VSKP EXP
18511	KRPU-VSKP BI-WEEKLY INTER
18512	VSKP-KRPU BI-WEEKLY INTER
18517	KORBA-VSKP EXP.
18518	VSKP-KORBA EXP.
18519	VSKP-LTT BI-WEEKLY
18520	LTT-VSKP BI-WEEKLY
18603	RNC-BGP EXPRESS
18604	RNC-BGP EXPRESS
18605	RNC- JYG EXPRESS
18606	JYG-RNC EXPRESS
18609	RNC LTT EXPRESS
18610	LTT RNC WEEKLY EXPRESS
18611	RNC BSB EXPRESS
18612	BSB RNC EXPRESS
18613	RNC CPU EXPRESS
18614	RNC CPU EXPRESS
18615	HWH HATIA EXP
18616	HATIA-HOWRAH EXPRESS
18617	HWH-RNC INTERCITY EXPRESS
18618	RNC-HWH INTERCITY EXPRESS
18619	RNC DUMK EXP
18620	DUMKA RANCHI INTERCITY EX
18621	PATNA HATIA PATALIPUTRA
18622	HATIA PATNA PATALIPUTRA E
18623	RJPB PNBE HTE EXPRESS
18624	HATIA-PATNA -RJPB EXP.
18625	PNBE-HTE EXP
18626	HTE-PNBE EXPRESS
18627	HWH-RNC INTERCITY EXPRESS
18628	RNC-HWH INTERCITY EXPRESS
18631	RNC AII EXPRESS
18632	AII RNC EXPRESS
18645	HWH HYB EAST COASTEXPRESS
18646	HYB-HWH EAST COAST EXP
19005	SAURASHTRA MAIL
19006	SAURASHTRA MAIL
19011	GUJARAT EXPRESS
19012	GUJARAT EXPRESS
19017	SAU JANATA EXP
19018	SAU JANATA EXP
19019	DEHRADUN EXP
19020	DEHRADUN EXP
19023	FZR JANATA EXP
19024	FZR BCT JANATA EXPRESS
19025	ST  - MHV
19026	MHV- ST EXPRESS
19027	VIVEK EXPRESS
19028	VIVEK EXPRESS
19029	BDTS - DEE WEEKLY EXP
19030	DEE - BDTS WEEKLY EXP
19037	AVADH EXPRESS
19038	AVADH EXPRESS
19039	BDTS - MFP EXPRESS
19040	MFP - BDTS  EXPRESS
19045	ST-CPR TAPTI GANGA EXP
19046	CPR-ST TAPTI GANGA EXP
19047	ST - BGP EXPRESS
19048	BGP  - ST EXP
19049	PATNA EXPRESS
19050	PATNA EXPRESS
19051	BL - MFP SHRAMIK EXP
19052	MFP - BL SHRAMIK EXP.
19053	ST - MFP WEEKLY EXP
19054	ST - MFP WEEKLY EXP.
19055	"BL-JU VIA PNU,MJ EXP"
19056	"JU - BL VIA PNU,MJ EXP"
19057	UDN - BSB WEEKLY EXP
19058	BSB - UDN  WEEKLY EXP
19059	ST - JAM EXPRESS
19060	JAM - ST EXPRESS
19065	BDTS-JU RXPRESS
19066	JU-BDTS EXPRESS
19105	ADI - HW MAIL
19106	HW - ADI MAIL
19107	JANMABHOOMI EXP
19108	JANMABHOOMI EXP
19109	GUJARAT QUEEN EXPRESS
19110	GUJARAT QUEEN EXPRESS
19113	BHILAD - VADODARA EXP.
19114	VADODARA - BHILAD EXP.
