Train No	Train Name
3255	PNBE-LTT HOLI SPL
3256	LTT-PNBE HOLI SPL
3281	NTSK-RJPB
3282	RJPB-NTSK HOLIDAY SPL
3287	DURG-PNBE EXAM SPL.
3288	PNBE-DURG EXAM SPL.
3290	MYS-PNBE EXAM SPL
3291	JSME-PNBE SHRAVANI SPL.
3292	PNBE-JSME SHRAVANI SPL.
3327	DHN SMI SPL
3504	ASANSOL-KOLKATA SPECIAL
3511	ASN-PNBE SHRAVANI SPL
3512	PNBE-ASN SHRAVANI SPL
3515	PURI-ASN WEEKLY SPECIAL
3516	ASN-PURI WEEKLY SPECIAL
3557	ASN-PNBE WKLY SPL
3558	PNBE-ASN WKLY SPL
3561	ASN-PNBE SHRAVANI SPL
3562	PNBE-ASN SHRAVANI SPL
3575	ASN-PNBE SHRAVANI SPL
3576	PNBE-ASN SHRAVANI SPL
3651	JSME-GAYA SHRAVANI SPL.
3652	GAYA-JSME SHRAVANI SPL.
3685	GAYA-DELHI SUPERFAST SPL.
3686	DLI-GAYA HOLIDAY SPL
4001	ALD-NDLS KUMBH MELA SPL
4002	NDLS ALD AC SPL
4003	ALD NDLS SPL
4004	NDLS-ALD KUMBH MELA SPL
4005	ALD DEE AC SPL
4006	DEE-ALD KUMBH MELA SPL
4007	ALD-NDLS KUMBH MELA SPL
4008	NDLS ALD SPL
4009	DEE-BTI EXP SPECIAL
4010	BTI-DEE EXP SPECIAL
4011	SNSI-NZM SPECIAL SUMMER
4012	NZM-SNSI SUMMER SPL
4013	ALD-NZM KUMBH-MELA SPL
4014	NZM  ALD  SPL
4015	ALD NDLS SPL
4016	NDLS ALD SPL
4021	PNBE DLI SPL
4022	DLI-PNBE HOLI SPECIAL
4023	DBG-DEE SPECIAL
4024	DEE DBG SPL
4025	DBG-NDLS SPECIAL
4026	NDLS-DBG SPECIAL
4031	DLI-UMB SPECIAL
4032	UMB-DLI SPECIAL
4033	NDLS-UHP SUPFAST SPECIAL
4034	UHP-NDLS SUPFAST SPECIAL
4035	NZM -UHP AC SPECIAL
4036	UHP -DEE INAUGURAL
4037	NDLS-UHP EXPRESS SPL
4038	UHP-NDLS EXPRESS SPL
4039	PNBE-NDLS AC SUPERFAST EX
4040	NDLS PNBE AC SP
4051	ANVT-JAT EXP SPECIAL
4052	JAT-ANVT SUMMER SPL
4053	NDLS-DDN AC SPECIAL
4054	DDN-NDLS AC SPECIAL
4092	NDLS BCT AC SPL
4093	BCT NDLS AC SPL
4094	NZM-BCT AC SPECIAL
4095	NEWDELHI SF EXP
4096	NDLS TVC AC SPL
4097	TVC NDLS AC EXP
4098	NDLS BCT AC SPL
4113	ALD-UHP
4114	UHP-ALD
4115	ALD-LTT
4116	LTT-ALD
4117	ALD-ANVT SUPERFAST
4118	ANVT-ALD - SUPERFAST
4119	KUMBH MELA
4120	KUMBH MELA
4121	KUMBH MELA
4122	KUMBH MELA
4123	KUMBH MELA
4124	ALD R SPECIAL
4126	ALD -AII K.MELA
4127	ALD ANVT SPL
4128	ANVT ALD SPL
4201	BSB-DLI SUMMER SPL.
4202	NDLS-LKO SUMMER. SPECIAL
4203	LKO NDLS SPL
4204	NDLS-LKO SUMMERI SPL
4205	BSB DLI SPL
4206	DLI-BSB SPECIAL
4207	LKO NDLS AC SPL
4208	NDLS LKO AC SPL
4209	BSB DLI SPL
4210	UHP-BSB SUMMER SPL
4212	ABP-PRG MAHA KUMBH SPL
4214	ABP-PRG MAHA KUMBH SPL
4218	AY-PRG MAHA KUMBH SPL
4220	LKO BSB INGRL
4221	PYG-AY MAHA KUMBH SPL
4222	AY-PRG MAHA KUMBH SPL
4223	PYG-AY MAHA KUMBH SPL
4224	AY-PRG MAHA KUMBH SPL
4226	AY-PRG MAHA KUMBH SPL
4227	PYG-AY
4228	AY-PRG MAHA KUMBH SPL
