107,AHM,AHIMANPUR,"25.252304,82.511444"
108,AHN,AHIRAN,"24.518077,88.041515"
109,AHO,ADARSHNAGAR,"26.421774,74.650297"
110,AHQ,AHERA HALT,"28.926101,77.278304"
111,AHU,AHIRAULI,"27.30696,83.034325"
112,AHZ,ADHINPUR,"26.418238,81.726608"
113,AI,ADIPUR,"23.0767127,70.0783186"
114,AIA,AJARAKA,"27.959761,76.564579"
115,AIG,ALGAWAN,"27.701008,79.963646"
116,AIH,ALAWALPUR I PUR,"29.047166,77.270966"
117,AII,AJMER,"26.456742,74.637594"
118,AILM,AILAM,"29.288055,77.292466"
119,AIP,ATTIPPATTU,"13.249136,80.299416"
120,AIR,ALINDRA ROAD,"22.440305,73.239584"
121,AIT,AIT,"25.903549,79.230266"
122,AJ,AJGAIN,"26.61746,80.621238"
123,AJE,ANJAR,"23.1193123,70.0364509"
124,AJH,AJHAI,"27.63571,77.557983"
125,AJI,ANJHI SHAHABAD,"27.644454,79.973774"
126,AJIT,AJIT,"25.85968697,72.67756462"
127,AJJ,ARAKKONAM,"13.081652,79.668131"
128,AJK,AJJAKOLLU,"16.32953,77.870407"
129,AJKI,AJITKHERI,"23.095523,76.05835"
130,AJL,AJITWAL,"30.807911,75.340118"
131,AJM,ADRAJ MOTI,"23.258341,72.565148"
132,AJN,AJNOD,"22.930966,75.738587"
133,AJNI,AJNI,"21.11581,79.078646"
134,AJP,AJJAMPUR,"13.7284627,76.0098715"
135,AJR,AJAIBPUR,"28.48333,77.58334"
136,AJRE,AUJARI,"26.142186,92.264557"
137,AJTM,AJITGILL MATTA,"30.483389,74.863715"
138,AJU,ARJUNI,"20.816778,80.021496"
139,AJUG,ABJUGANJ,"0,0"
140,AK,AKOLA JN,"20.723164,77.005577"
141,AKAH,ARTALAKATTA,"16.941543,82.177563"
142,AKAT,AKKAMPET,"13.670174,80.016003"
143,AKD,AKODIA,"23.378265,76.599255"
144,AKE,AKANAPET,"18.111103,78.396549"
145,AKI,ADARKI,"17.917983,74.189301"
146,AKIP,AKAIPUR HALT,"23.094418,88.717861"
147,AKJ,AKBARGANJ,"26.531946,81.502118"
148,AKK,AKKIHEBBAIU,"12.62476,76.377468"
149,AKL,ANAKHOL,"23.270681,72.434721"
150,AKM,ARAMBAKKAM,"13.533026,80.074711"
151,AKN,AKBARNAGAR,"25.232196,86.831903"
152,AKNR,ADHYATMIK NAGAR,"28.679594,77.499447"
