Station Code	Station Name	Station Coordinates
AJM	ADRAJ MOTI	"23.258341,72.565148"
AJN	AJNOD	"22.930966,75.738587"
AJNI	AJNI	"21.11581,79.078646"
AJP	AJJAMPUR	"13.7284627,76.0098715"
AJR	AJAIBPUR	"28.48333,77.58334"
AJRE	AUJARI	"26.142186,92.264557"
AJTM	AJITGILL MATTA	"30.483389,74.863715"
AJU	ARJUNI	"20.816778,80.021496"
AJUG	ABJUGANJ	"0,0"
AK	AKOLA JN	"20.723164,77.005577"
AKAH	ARTALAKATTA	"16.941543,82.177563"
AKAT	AKKAMPET	"13.670174,80.016003"
AKD	AKODIA	"23.378265,76.599255"
AKE	AKANAPET	"18.111103,78.396549"
AKI	ADARKI	"17.917983,74.189301"
AKIP	AKAIPUR HALT	"23.094418,88.717861"
AKJ	AKBARGANJ	"26.531946,81.502118"
AKK	AKKIHEBBAIU	"12.62476,76.377468"
AKL	ANAKHOL	"23.270681,72.434721"
AKM	ARAMBAKKAM	"13.533026,80.074711"
AKN	AKBARNAGAR	"25.232196,86.831903"
AKNR	ADHYATMIK NAGAR	"28.679594,77.499447"
AKOR	AKALKOT ROAD	"17.450683,76.138129"
AKOT	AKOT	"21.095391,77.046947"
AKP	ANAKAPALLE	"17.695013,83.008361"
AKR	AKOLNER	"18.985519,74.66918"
AKRA	AKRA	"22.514658,88.249011"
AKRD	AKURDI	"18.6484,73.764524"
AKS	ANKUSPUR	"25.56753,83.480988"
AKT	AKALTARA	"22.029081,82.422009"
AKU	ANGALAKUDURU	"16.245455,80.609221"
AKV	ANKLESHWAR JN	"21.624359,73.001103"
AKVD	AKIVIDU	"16.582894,81.369295"
AKW	AKORA	"25.613977,80.140285"
AKY	AKKURTI	"13.782903,79.66856"
AKZ	AKASHI	"23.406703,84.825611"
AL	ATTILI	"16.68002,81.61623"
ALAI	ALAI	"27.337567,73.586238"
ALAL	ALAL	"30.377836,75.723867"
ALB	ALIA BADA	"22.44685,70.210447"
ALD	ALLAHABAD JN	"25.445871,81.828446"
ALER	ALER	"17.6454853,79.0478714"
ALGP	ALGAPUR	"24.754373,92.595538"
ALJ	alai	"29.143316,78.932219"
ALJN	ALIGARH JN	"27.889194,78.074169"
ALK	ALAKKUDI	"10.77748297,79.0535295"
ALL	ALAL	"30.377795,75.72081952"
ALLP	ALLEPPEY	"9.483519,76.322236"
ALM	ALAMANDA	"18.01208,83.271174"
ALMR	ALAMPUR	"21.943523,71.698666"
ALMW	ALMAW	"25.259445,82.489471"
ALN	ALANDI	"18.450789,74.092655"
ALNI	ALNIYA	"24.968319,75.942135"
ALNP	AKELAHANSPUR(HALT)	"28.34095,80.315981"
ALP	ALAPAKAM	"11.543271,79.725208"
ALPR	ALAMPUR ROAD	"15.895177,78.046532"
ALS	AMLORI SARSAR	"26.272021,84.347363"
ALU	ARIYALUR	"11.150235,79.068518"
ALV	ANKLAV	"22.392936,72.999344"
ALW	ALWAR	"17.505289,78.514516"
ALY	ALLAHABAD CITY	"25.44254,81.829866"
AMA	ATAMANDA	"28.58617,79.468253"
AMB	AMBODALA	"19.836476,83.456182"
AMBR	AMBIKA ROHINA	"18.43939,76.947899"
AMC	AMRITAPURA	"14.139988,76.248894"
AMD	AMILA	"26.191026,83.522358"
AMDI	AMDI HALT	"21.35254,79.318886"
AME	AMETHI	"26.152664,81.805916"
AMG	ALAMNAGAR	"26.84743,80.860662"
AMH	AZAMGARH	"26.039047,83.161054"
AMI	AMRAVATI	"20.9298429,77.7575463"
AMIN	AMIN	"29.904688,76.899748"
AML	AMALSAD	"20.811323,72.956042"
AMLA	AMLA JN	"21.919837,78.123307"
AMLI	AMLI	"25.828016,76.286016"
AMLO	AMLO	"23.768693,85.980034"
AMLP	AMALPUR	"22.161494,73.508663"
AMM	ATIRAMPATTINAM	"10.33147,79.384632"
AMN	AMIN	"29.904651,76.899662"
AMNR	AMMANUR	"10.591265,79.640923"
AMO	AMOLWA	"27.210671,84.477997"
AMOD	AMOD	"21.988258,72.866135"
AMP	AHMADPUR JN	"23.832912,87.693536"
AMPA	AMBALA PUZHA	"9.386149,76.363907"
AMPL	AMMAPALLI HALT	"25.264103,87.471428"
AMPR	AMARPURA RATHAN	"29.483539,74.079093"
AMQ	AMMUGUDA	"17.486829,78.527005"
AMRO	AMROHA	"28.892328,78.473969"
AMS	AMAUSI	"26.77458,80.841694"
AMSA	AMMASANDRA	"13.264821,76.7117357"
AMT	AMMAPET	"10.779306,79.315538"
AMVA	AMARAVILA HALT	"8.396809,77.100062"
AMW	AMAN VADI	"20.300197,77.064971"
AMX	AMLAKHURD	"21.416158,76.681309"
AMY	AKATHUMURI	"8.70016,76.758642"
AMZ	AMTA	"22.574389,88.019543"
AN	AMALNER	"21.049259,75.057564"
ANA	ASLANA	"23.860172,79.319143"
ANAS	ANAS	"22.865539,74.421043"
ANB	AMMANABROLU	"15.596832,80.148783"
ANC	ANNECHAKANAHALI	"12.73814,76.283054"
ANCR	ANCHURI	"23.284124,86.993394"
AND	ANDAMPALIAM	"12.08816638,79.16872527"
ANDI	NEW ADRESHNAGARH	"28.714265,77.166767"
ANDN	ANAND NAGAR	"27.103354,83.270338"
ANE	ANANTARAJUPET	"13.999702,79.302578"
