145,2773,SHM-SC INAUGURAL SPL
146,2774,SC-SHM SUF/ INAUGURAL SPL
147,2797,SC TPTY  EXP
148,2798,TPTY SC SPL
149,2812,NDLS BBS SPL
150,2872,TPTY BBS  SF SP
151,2883,KGP-PRR SPL
152,2884,PRR  KGP SPL
153,2903,BDTS - BHUJ
154,2904,BHUJ-BDTS
155,3001,SDAH-NDLS HOLIDAY SPL
156,3002,NDLS-SDAH HOLIDAY SPL
157,3059,HWH-NJP HOLIDAY SUPER SPL
158,3060,NJP-HWH HOLIDAY SPL
159,3061,HWH-LTT WKLY SUPER FAST E
160,3062,LTT-HWH WKLY SUPER FAST E
161,3063,HWH-NJP SUPER FAST SPL
162,3064,NJP-HWH HOLIDAY SPL
163,3101,SDAH-PURI SPL.
164,3102,PURI-SDAH SPL
165,3125,KOAA-ANVT WKLY S/FAST SPL
166,3126,ANV-KOAA WKLY S/FAST SPL.
167,3129,KOAA-HW WKLY SUPER FAST E
168,3130,HW-KOAA WKLY SUPER FAST E
169,3131,KOAA-GKP SPL
170,3132,GKP-KOAA SPL
171,3134,PNBE-KOAA SPL
172,3138,AII HWH URS SPL
173,3139,SDAH-NJP HOLIDAY SPL
174,3140,NJP-SDAH HOLIDAY SPL
175,3159,KOLKATA-PATNA JN SPECIAL
176,3235,SBG - DNR SHRAVANI SPL
177,3236,DNR - SBG SHRAVANI SPL.
178,3253,PNBE-PUNE HOLIDAY SPL
179,3254,PUNE-PNBE HOLIDAY SPL
180,3255,PNBE-LTT HOLI SPL
181,3256,LTT-PNBE HOLI SPL
182,3281,NTSK-RJPB
183,3282,RJPB-NTSK HOLIDAY SPL
184,3287,DURG-PNBE EXAM SPL.
185,3288,PNBE-DURG EXAM SPL.
186,3290,MYS-PNBE EXAM SPL
187,3291,JSME-PNBE SHRAVANI SPL.
188,3292,PNBE-JSME SHRAVANI SPL.
189,3327,DHN SMI SPL
190,3504,ASANSOL-KOLKATA SPECIAL
191,3511,ASN-PNBE SHRAVANI SPL
192,3512,PNBE-ASN SHRAVANI SPL
193,3515,PURI-ASN WEEKLY SPECIAL
194,3516,ASN-PURI WEEKLY SPECIAL
195,3557,ASN-PNBE WKLY SPL
196,3558,PNBE-ASN WKLY SPL
197,3561,ASN-PNBE SHRAVANI SPL
198,3562,PNBE-ASN SHRAVANI SPL
199,3575,ASN-PNBE SHRAVANI SPL
200,3576,PNBE-ASN SHRAVANI SPL
201,3651,JSME-GAYA SHRAVANI SPL.
202,3652,GAYA-JSME SHRAVANI SPL.
203,3685,GAYA-DELHI SUPERFAST SPL.
204,3686,DLI-GAYA HOLIDAY SPL
205,4001,ALD-NDLS KUMBH MELA SPL
206,4002,NDLS ALD AC SPL
207,4003,ALD NDLS SPL
208,4004,NDLS-ALD KUMBH MELA SPL
209,4005,ALD DEE AC SPL
210,4006,DEE-ALD KUMBH MELA SPL
211,4007,ALD-NDLS KUMBH MELA SPL
212,4008,NDLS ALD SPL
213,4009,DEE-BTI EXP SPECIAL
214,4010,BTI-DEE EXP SPECIAL
215,4011,SNSI-NZM SPECIAL SUMMER
216,4012,NZM-SNSI SUMMER SPL
217,4013,ALD-NZM KUMBH-MELA SPL
218,4014,NZM  ALD  SPL
219,4015,ALD NDLS SPL
220,4016,NDLS ALD SPL
221,4021,PNBE DLI SPL
222,4022,DLI-PNBE HOLI SPECIAL
223,4023,DBG-DEE SPECIAL
224,4024,DEE DBG SPL
225,4025,DBG-NDLS SPECIAL
226,4026,NDLS-DBG SPECIAL
227,4031,DLI-UMB SPECIAL
228,4032,UMB-DLI SPECIAL
229,4033,NDLS-UHP SUPFAST SPECIAL
230,4034,UHP-NDLS SUPFAST SPECIAL
231,4035,NZM -UHP AC SPECIAL
232,4036,UHP -DEE INAUGURAL
233,4037,NDLS-UHP EXPRESS SPL
234,4038,UHP-NDLS EXPRESS SPL
235,4039,PNBE-NDLS AC SUPERFAST EX
236,4040,NDLS PNBE AC SP
237,4051,ANVT-JAT EXP SPECIAL
238,4052,JAT-ANVT SUMMER SPL
239,4053,NDLS-DDN AC SPECIAL
240,4054,DDN-NDLS AC SPECIAL
241,4092,NDLS BCT AC SPL
242,4093,BCT NDLS AC SPL
243,4094,NZM-BCT AC SPECIAL
244,4095,NEWDELHI SF EXP
245,4096,NDLS TVC AC SPL
246,4097,TVC NDLS AC EXP
247,4098,NDLS BCT AC SPL
248,4113,ALD-UHP
249,4114,UHP-ALD
250,4115,ALD-LTT
251,4116,LTT-ALD
252,4117,ALD-ANVT SUPERFAST
253,4118,ANVT-ALD - SUPERFAST
254,4119,KUMBH MELA
255,4120,KUMBH MELA
256,4121,KUMBH MELA
257,4122,KUMBH MELA
258,4123,KUMBH MELA
259,4124,ALD R SPECIAL
260,4126,ALD -AII K.MELA
261,4127,ALD ANVT SPL
262,4128,ANVT ALD SPL
263,4201,BSB-DLI SUMMER SPL.
264,4202,NDLS-LKO SUMMER. SPECIAL
265,4203,LKO NDLS SPL
266,4204,NDLS-LKO SUMMERI SPL
267,4205,BSB DLI SPL
268,4206,DLI-BSB SPECIAL
269,4207,LKO NDLS AC SPL
270,4208,NDLS LKO AC SPL
271,4209,BSB DLI SPL
272,4210,UHP-BSB SUMMER SPL
273,4212,ABP-PRG MAHA KUMBH SPL
274,4214,ABP-PRG MAHA KUMBH SPL
275,4218,AY-PRG MAHA KUMBH SPL
276,4220,LKO BSB INGRL
277,4221,PYG-AY MAHA KUMBH SPL
278,4222,AY-PRG MAHA KUMBH SPL
279,4223,PYG-AY MAHA KUMBH SPL
280,4224,AY-PRG MAHA KUMBH SPL
281,4226,AY-PRG MAHA KUMBH SPL
282,4227,PYG-AY
